"0014","These chairs aren't beautiful, but they're comfortable.","これら の 椅子 は 綺麗 では ありません が、座り 心地 が いい です。","これら の いす は きれい では ありません が、すわり ここ ち が いい です。","korera no isu wa kirei dewa arimaseɴ ga, suwari kokochi ga ī desu.","[ko̞ɾe̞ɾɑ no̞ isɯ̥ ɰɑ kʲiɾe̞ː de̞ɰɑ ɑɾimɑse̞ŋ ɡɑ | sɯɰɑɾi ko̞ko̞ʨi ̥ ɡɑ iː de̞sɯ̥ ||","glossika_0014_en_1573475285927.mp3","glossika_0014_ja.mp3",
"0015","The weather's warm and sunny today.","今日 の 天気 は 温かくて 晴れて います。","きょう の てんき は あたたかくて はれて います。","kyō no teɴki wa atatakakute harete imasu.","[kʲo̞ː no̞ te̞ŋkʲi ̥ ɰɑ ɑtɑtɑkɑkɯ̥ te̞ hɑɾe̞te̞ imɑsɯ̥ ||","glossika_0015_en_1573475285927.mp3","glossika_0015_ja.mp3",
"0016","You're late. — No, I'm not! I'm early.","あなた は 遅刻 です ね。― いいえ、遅刻 して いません よ。早め に 着きました。","あなた は ちこく です ね。― いいえ、ちこく して いませ ん よ。はやめ に つきました。","anata wa chikoku desu ne. — īe, chikoku shite imaseɴ yo. hayame ni tsukimashita.","[ɑnɑtɑ ɰɑ ʨi ̥ko̞kɯ̥ de̞sɯ̥ ne̞ || ― iːe̞ | ʨi ̥ko̞kɯ̥ ɕi ̥te̞ imɑse̞ɰ̃ jo̞ || hɑjɑme̞ ni ʦɯ̥ kʲimɑɕi ̥tɑ ||","glossika_0016_en_1573475285927.mp3","glossika_0016_ja.mp3",
"0017","She isn't home. She's at work.","彼女 は 今 うち に いません。仕事 です。","かのじょ は いま うち に いません。しごと です。","kanojo wa ima uchi ni imaseɴ. shigoto desu.","[kɑno̞ʥo̞ ɰɑ imɑ ɯʨi ̥ ni imɑse̞ɴ || ɕiɡo̞to̞ de̞sɯ̥ ||","glossika_0017_en_1573475285927.mp3","glossika_0017_ja.mp3",
"0018","Here's your coat.","これ は あなた の コート です。","これ は あなた の コート です。","kore wa anata no kōto desu.","[ko̞ɾe̞ ɰɑ ɑnɑtɑ no̞ ko̞ːto̞ de̞sɯ̥ ||","glossika_0018_en_1573475285927.mp3","glossika_0018_ja.mp3",
"0019","What's your name?","あなた の 名前 は 何ですか？","あなた の なまえ は なんですか？","anata no namae wa naɴdesuka?","[ɑnɑtɑ no̞ nɑmɑe̞ ɰɑ nɑnde̞sɯ̥ kɑ ||","glossika_0019_en_1573475285927.mp3","glossika_0019_ja.mp3",
"0020","My name's Alan.","私 の 名前 は エレン です。","わたし の なまえ は エレン です。","watashi no namae wa ereɴ desu.","[ɰɑtɑɕi ̥ no̞ nɑmɑe̞ ɰɑ e̞ɾe̞n de̞sɯ̥ ||","glossika_0020_en_1573475285927.mp3","glossika_0020_ja.mp3",
"0021","Where are you from?","あなた は どこ から 来ました か？","あなた は どこ から きました か？","anata wa doko kara kimashita ka?","[ɑnɑtɑ ɰɑ do̞ko̞ kɑɾɑ kʲimɑɕi ̥tɑ kɑ ||","glossika_0021_en_1573475285927.mp3","glossika_0021_ja.mp3",
"0022","I'm from New York.","私 は ニューヨーク から 来ました。","わたし は ニューヨーク から きました。","watashi wa nyūyōku kara kimashita.","[ɰɑtɑɕi ̥ ɰɑ nʲɯːjo̞ːkɯ̥ kɑɾɑ kʲimɑɕi ̥tɑ ||","glossika_0022_en_1573475285927.mp3","glossika_0022_ja.mp3",
"0023","How old are you?","今 何歳 です か？","いま なんさい です か？","ima naɴsai desu ka?","[imɑ nɑɰ̃ sɑi de̞sɯ̥ kɑ ||","glossika_0023_en_1573475285927.mp3","glossika_0023_ja.mp3",
"0024","I'm twenty (20) years old.","私 は 二十歳 です。","わたし は はたち です。","watashi wa hatachi desu.","[ɰɑtɑɕi ̥ ɰɑ hɑtɑʨi ̥ de̞sɯ̥ ||","glossika_0024_en_1573475285927.mp3","glossika_0024_ja.mp3",
"0025","What's your job?","あなた は どんな 仕事 を して います か？","あなた は どんな しごと を して います か？","anata wa doɴna shigoto o shite imasu ka?","[ɑnɑtɑ ɰɑ do̞nnɑ ɕiɡo̞to̞ o̞ ɕi ̥te̞ imɑsɯ̥ kɑ ||","glossika_0025_en_1573475285927.mp3","glossika_0025_ja.mp3",
"0026","I'm a teacher.","私 は 先生 です。","わたし は せんせい です。","watashi wa seɴsei desu.","[ɰɑtɑɕi ̥ ɰɑ se̞ɰ̃se̞ː de̞sɯ̥ ||","glossika_0026_en_1573475285927.mp3","glossika_0026_ja.mp3",
"0027","What's your favorite color?","あなた は どんな 色 が 一番 好き です か？","あなた は どんな いろ が いちばん すき です か？","anata wa doɴna iro ga ichibaɴ suki desu ka?","[ɑnɑtɑ ɰɑ do̞nnɑ iɾo̞ ɡɑ iʨibɑɰ̃ sɯ̥ kʲi ̥ de̞sɯ̥ kɑ ||","glossika_0027_en_1573475285927.mp3","glossika_0027_ja.mp3",
"0028","My favorite color is blue.","私 の 一番 好き な 色 は 青 です。","わたし の いちばん すき な いろ は あお です。","watashi no ichibaɴ suki na iro wa ao desu.","[ɰɑtɑɕi ̥ no̞ iʨibɑɰ̃ sɯ̥ kʲi ̥ nɑ iɾo̞ ɰɑ ɑo̞ de̞sɯ̥ ||","glossika_0028_en_1573475285927.mp3","glossika_0028_ja.mp3",
"0029","What are you interested in?","あなた は 何 に 興味 が あります か？","あなた は なに に きょうみ が あります か？","anata wa nani ni kyōmi ga arimasu ka?","[ɑnɑtɑ ɰɑ nɑni ni kʲo̞ːmi ɡɑ ɑɾimɑsɯ̥ kɑ ||","glossika_0029_en_1573475285927.mp3","glossika_0029_ja.mp3",
"0030","I'm interested in music.","私 は 音楽 に 興味 が あります。","わたし は おんがく に きょうみ が あります。","watashi wa oɴgaku ni kyōmi ga arimasu.","[ɰɑtɑɕi ̥ ɰɑ o̞ŋɡɑkɯ̥ ni kʲo̞ːmi ɡɑ ɑɾimɑsɯ̥ ||","glossika_0030_en_1573475285927.mp3","glossika_0030_ja.mp3",
"0031","It's hot today.","今日 は 本当 に 暑い です。","きょう は ほんとう に あつい です。","kyō wa hoɴtō ni atsui desu.","[kʲo̞ː ɰɑ ho̞nto̞ː ni ɑʦɯi de̞sɯ̥ ||","glossika_0031_en_1573475285927.mp3","glossika_0031_ja.mp3",
"0032","It isn't hot today.","今日 は 暑くない です。","きょう は あつくない です。","kyō wa atsukunai desu.","[kʲo̞ː ɰɑ ɑʦɯ̥ kɯnɑi de̞sɯ̥ ||","glossika_0032_en_1573475285927.mp3","glossika_0032_ja.mp3",
"0033","It's windy today.","今日 は 風 が 強い です。","きょう は かぜ が つよい です。","kyō wa kaze ga tsuyoi desu.","[kʲo̞ː ɰɑ kɑze̞ ɡɑ ʦɯjo̞i de̞sɯ̥ ||","glossika_0033_en_1573475285927.mp3","glossika_0033_ja.mp3",
"0034","It isn't windy today.","今日 の 風 は あまり 強くない です。","きょう の かぜ は あまり つよくない です。","kyō no kaze wa amari tsuyokunai desu.","[kʲo̞ː no̞ kɑze̞ ɰɑ ɑmɑɾi ʦɯjo̞kɯnɑi de̞sɯ̥ ||","glossika_0034_en_1573475285927.mp3","glossika_0034_ja.mp3",
"0035","My hands are cold.","私 の 手 は 冷たい です。","わたし の て は つめたい です。","watashi no te wa tsumetai desu.","[ɰɑtɑɕi ̥ no̞ te̞ ɰɑ ʦɯme̞tɑi de̞sɯ̥ ||","glossika_0035_en_1573475285927.mp3","glossika_0035_ja.mp3",
"0036","Brazil is a very big country.","ブラジル は とても 大きい 国 です。","ブラジル は とても おおきい くに です。","burajiru wa totemo ōkī kuni desu.","[bɯɾɑʥiɾɯ ɰɑ to̞te̞mo̞ o̞ːkiː kɯni de̞sɯ̥ ||","glossika_0036_en_1573475285927.mp3","glossika_0036_ja.mp3",
"0037","Diamonds are not cheap.","ダイヤモンド は 安く ありません。","ダイヤモンド は やすく ありません。","daiyamoɴdo wa yasuku arimaseɴ.","[dɑijɑmo̞ndo̞ ɰɑ jɑsɯ̥ kɯ̥ ɑɾimɑse̞ɴ ||","glossika_0037_en_1573475285927.mp3","glossika_0037_ja.mp3",
"0038","Toronto isn't in the United States.","トロント は アメリカ に は ありません。","トロント は アメリカ に は ありません。","toroɴto wa amerika ni wa arimaseɴ.","[to̞ɾo̞nto̞ ɰɑ ɑme̞ɾikɑ ni ɰɑ ɑɾimɑse̞ɴ ||","glossika_0038_en_1573475285927.mp3","glossika_0038_ja.mp3",
"0039","I'm tired.","疲れました。","つかれました。","tsukaremashita.","[ʦɯ̥ kɑɾe̞mɑɕi ̥tɑ ||","glossika_0039_en_1573475285927.mp3","glossika_0039_ja.mp3",
"0040","I'm not tired.","疲れて いません。","つかれて いません。","tsukarete imaseɴ.","[ʦɯ̥ kɑɾe̞te̞ imɑse̞ɴ ||","glossika_0040_en_1573475285927.mp3","glossika_0040_ja.mp3",
"0041","I'm hungry.","お腹 が 空きました。","おなか が すきました。","onaka ga sukimashita.","[o̞nɑkɑ ɡɑ sɯ̥ kʲimɑɕi ̥tɑ ||","glossika_0041_en_1573475285927.mp3","glossika_0041_ja.mp3",
"0042","I'm not hungry.","お腹 は 空いて いません。","おなか は すいて いません。","onaka wa suite imaseɴ.","[o̞nɑkɑ ɰɑ sɯite̞ imɑse̞ɴ ||","glossika_0042_en_1573475285927.mp3","glossika_0042_ja.mp3",
"0043","He's a good swimmer.","彼 は 水泳 が 上手 です。","かれ は すいえい が じょうず です。","kare wa suiei ga jōzu desu.","[kɑɾe̞ ɰɑ sɯie̞ː ɡɑ ʥo̞ːzɯ de̞sɯ̥ ||","glossika_0043_en_1573475285927.mp3","glossika_0043_ja.mp3",
"0044","I'm not interested in politics.","私 は 政治 に は 興味 が ありません。","わたし は せいじ に は きょうみ が ありません。","watashi wa seiji ni wa kyōmi ga arimaseɴ.","[ɰɑtɑɕi ̥ ɰɑ se̞ːʥi ni ɰɑ kʲo̞ːmi ɡɑ ɑɾimɑse̞ɴ ||","glossika_0044_en_1573475285927.mp3","glossika_0044_ja.mp3",
"0045","What's your name?","あなた の 名前 は 何 です か。","あなた の なまえ は なん です か。","anata no namae wa naɴ desu ka.","[ɑnɑtɑ no̞ nɑmɑe̞ ɰɑ nɑn de̞sɯ̥ kɑ ||","glossika_0045_en_1573475285927.mp3","glossika_0045_ja.mp3",
"0046","My name's Amanda.","私 の 名前 は アマンダ です。","わたし の なまえ は アマンダ です。","watashi no namae wa amaɴda desu.","[ɰɑtɑɕi ̥ no̞ nɑmɑe̞ ɰɑ ɑmɑndɑ de̞sɯ̥ ||","glossika_0046_en_1573475285927.mp3","glossika_0046_ja.mp3",
"0047","Are you married?","あなた は 結婚 して います か？","あなた は けっこん して います か？","anata wa kekkoɴ shite imasu ka?","[ɑnɑtɑ ɰɑ ke̞kˀko̞ɰ̃ ɕi ̥te̞ imɑsɯ̥ kɑ ||","glossika_0047_en_1573475285927.mp3","glossika_0047_ja.mp3",
"0048","No, I'm single.","まだ です、独身 です。","まだ です、どくしん です。","mada desu, dokushiɴ desu.","[mɑdɑ de̞sɯ̥ | do̞kɯ̥ ɕin de̞sɯ̥ ||","glossika_0048_en_1573475285927.mp3","glossika_0048_ja.mp3",
"0049","How old are you?","おいくつ（何歳）です か？","おいくつ（なんさい）です か？","oikutsu (naɴsai) desu ka?","[o̞ikɯ̥ ʦɯ̥ (nɑɰ̃ sɑi) de̞sɯ̥ kɑ ||","glossika_0049_en_1573475285927.mp3","glossika_0049_ja.mp3",
"0050","I'm twenty-five (25).","二十五歳 です。","にじゅうごさい です。","nijūgosai desu.","[niʥɯːɡo̞sɑi de̞sɯ̥ ||","glossika_0050_en_1573475285927.mp3","glossika_0050_ja.mp3",
"0051","Are you a student?","あなた は 学生 です か？","あなた は がくせい です か？","anata wa gakusei desu ka?","[ɑnɑtɑ ɰɑ ɡɑkɯ̥ se̞ː de̞sɯ̥ kɑ ||","glossika_0051_en_1573475285927.mp3","glossika_0051_ja.mp3",
"0052","Yes, I am.","はい、そう です。","はい、そう です。","hai, sō desu.","[hɑi | so̞ː de̞sɯ̥ ||","glossika_0052_en_1573475285927.mp3","glossika_0052_ja.mp3",
"0053","Am I late?","私 は 遅刻 です か？","わたし は ちこく です か？","watashi wa chikoku desu ka?","[ɰɑtɑɕi ̥ ɰɑ ʨi ̥ko̞kɯ̥ de̞sɯ̥ kɑ ||","glossika_0053_en_1573475285927.mp3","glossika_0053_ja.mp3",
"0054","No, you're on time.","いいえ、時間通り に 着きました。","いいえ、じかんどおり に つきました。","īe, jikaɴdōri ni tsukimashita.","[iːe̞ | ʥikɑndo̞ːɾi ni ʦɯ̥ kʲimɑɕi ̥tɑ ||","glossika_0054_en_1573475285927.mp3","glossika_0054_ja.mp3",
"0055","Is your mother at home?","あなた の お母さん は 家 に います か？","あなた の おかあさん は いえ に います か？","anata no okāsaɴ wa ie ni imasu ka?","[ɑnɑtɑ no̞ o̞kɑːsɑɰ̃ ɰɑ ie̞ ni imɑsɯ̥ kɑ ||","glossika_0055_en_1573475285927.mp3","glossika_0055_ja.mp3",
"0056","No, she's out.","いいえ、出かけました。","いいえ、でかけました。","īe, dekakemashita.","[iːe̞ | de̞kɑke̞mɑɕi ̥tɑ ||","glossika_0056_en_1573475285927.mp3","glossika_0056_ja.mp3",
"0057","Are your parents at home?","あなた の 両親 は うち に います か？","あなた の りょうしん は うち に います か？","anata no ryōshiɴ wa uchi ni imasu ka?","[ɑnɑtɑ no̞ ɾʲo̞ːɕiɰ̃ ɰɑ ɯʨi ̥ ni imɑsɯ̥ kɑ ||","glossika_0057_en_1573475285927.mp3","glossika_0057_ja.mp3",
"0058","No, they're out.","いいえ、出かけました。","いいえ、でかけました。","īe, dekakemashita.","[iːe̞ | de̞kɑke̞mɑɕi ̥tɑ ||","glossika_0058_en_1573475285927.mp3","glossika_0058_ja.mp3",
"0059","Is it cold in your room?","あなた の 部屋 は 寒い です か？","あなた の へや は さむい です か？","anata no heya wa samui desu ka?","[ɑnɑtɑ no̞ he̞jɑ ɰɑ sɑmɯi de̞sɯ̥ kɑ ||","glossika_0059_en_1573475285927.mp3","glossika_0059_ja.mp3",
"0060","Yes, a little.","はい、少し 寒い です。","はい、すこし さむい です。","hai, sukoshi samui desu.","[hɑi | sɯ̥ ko̞ɕi ̥ sɑmɯi de̞sɯ̥ ||","glossika_0060_en_1573475285927.mp3","glossika_0060_ja.mp3",
"0061","Your shoes are nice. Are they new?","結構 いい 靴 です ね、新品 です か？","けっこう いい くつ です ね、しんぴん です か？","kekkō ī kutsu desu ne, shiɴpiɴ desu ka?","[ke̞kˀko̞ː iː kɯ̥ ʦɯ̥ de̞sɯ̥ ne̞ | ɕimpin de̞sɯ̥ kɑ ||","glossika_0061_en_1573475285927.mp3","glossika_0061_ja.mp3",
"0062","Yes, they are.","はい、新品 です。","はい、しんぴん です。","hai, shiɴpiɴ desu.","[hɑi | ɕimpin de̞sɯ̥ ||","glossika_0062_en_1573475285927.mp3","glossika_0062_ja.mp3",
"0063","Where's your mother? Is she at home?","あなた の お母さん は どこ ですか？うち に います か？","あなた の おかあさん は どこ ですか？うち に います か？","anata no okāsaɴ wa doko desuka? uchi ni imasu ka?","[ɑnɑtɑ no̞ o̞kɑːsɑɰ̃ ɰɑ do̞ko̞ de̞sɯ̥ kɑ || ɯʨi ̥ ni imɑsɯ̥ kɑ ||","glossika_0063_en_1573475285927.mp3","glossika_0063_ja.mp3",
"0064","Where are you from?","あなた は どこ から 来ました か？","あなた は どこ から きました か？","anata wa doko kara kimashita ka?","[ɑnɑtɑ ɰɑ do̞ko̞ kɑɾɑ kʲimɑɕi ̥tɑ kɑ ||","glossika_0064_en_1573475285927.mp3","glossika_0064_ja.mp3",
"0065","I'm from Canada.","わたし は カナダ から 来ました。","わたし は カナダ から きました。","watashi wa kanada kara kimashita.","[ɰɑtɑɕi ̥ ɰɑ kɑnɑdɑ kɑɾɑ kʲimɑɕi ̥tɑ ||","glossika_0065_en_1573475285927.mp3","glossika_0065_ja.mp3",
"0066","What color is your car?","あなた の 車 は 何色 です か？","あなた の くるま は なにいろ です か？","anata no kuruma wa nanīro desu ka?","[ɑnɑtɑ no̞ kɯɾɯmɑ ɰɑ nɑniːɾo̞ de̞sɯ̥ kɑ ||","glossika_0066_en_1573475285927.mp3","glossika_0066_ja.mp3",
"0067","It's red.","赤 です。","あか です。","aka desu.","[ɑkɑ de̞sɯ̥ ||","glossika_0067_en_1573475285927.mp3","glossika_0067_ja.mp3",
"0068","How old is Hassan?","ハッサンさん は 何歳 です か？","ハッサンさん は なんさい です か？","hassaɴsaɴ wa naɴsai desu ka?","[hɑsˀsɑɰ̃ sɑɰ̃ ɰɑ nɑɰ̃ sɑi de̞sɯ̥ kɑ ||","glossika_0068_en_1573475285927.mp3","glossika_0068_ja.mp3",
"0069","He's twenty-four (24).","彼 は 二十四歳 です。","かれ は にじゅうよんさい です。","kare wa nijūyoɴsai desu.","[kɑɾe̞ ɰɑ niʥɯːjo̞ɰ̃sɑi de̞sɯ̥ ||","glossika_0069_en_1573475285927.mp3","glossika_0069_ja.mp3",
"0070","How are your parents?","あなた の 両親 は お元気 です か？","あなた の りょうしん は おげんき です か？","anata no ryōshiɴ wa ogeɴki desu ka?","[ɑnɑtɑ no̞ ɾʲo̞ːɕiɰ̃ ɰɑ o̞ɡe̞ŋkʲi ̥ de̞sɯ̥ kɑ ||","glossika_0070_en_1573475285927.mp3","glossika_0070_ja.mp3",
"0071","They're doing fine.","両親 ともに 元気 です よ。","りょうしん ともに げんき です よ。","ryōshiɴ tomoni geɴki desu yo.","[ɾʲo̞ːɕin to̞mo̞ni ɡe̞ŋkʲi ̥ de̞sɯ̥ jo̞ ||","glossika_0071_en_1573475285927.mp3","glossika_0071_ja.mp3",
"0072","These postcards are nice. How much are they?","これら の はがき は 素敵 です ね。いくら です か？","これら の はがき は すてき です ね。いくら です か？","korera no hagaki wa suteki desu ne. ikura desu ka?","[ko̞ɾe̞ɾɑ no̞ hɑɡɑkʲi ̥ ɰɑ sɯ̥ te̞kʲi ̥ de̞sɯ̥ ne̞ || ikɯɾɑ de̞sɯ̥ kɑ ||","glossika_0072_en_1573475285927.mp3","glossika_0072_ja.mp3",
"0073","They're a dollar. They're a buck. They're a pound. They're a euro.","一枚 一ドルです","いちまい いちドルです","ichimai ichidorudesu","[iʨimɑi iʨido̞ɾɯde̞sɯ̥ ","glossika_0073_en_1573475285927.mp3","glossika_0073_ja.mp3",
"0074","This hotel isn't very good. Why is it so expensive?","この 旅館 は あまり よく ない のに どうして こんな に 高 い の です か？","この りょかん は あまり よく ない のに どうして こんな に たかい の です か？","kono ryokaɴ wa amari yoku nai noni dōshite koɴna ni takai no desu ka?","[ko̞no̞ ɾʲo̞kɑɰ̃ ɰɑ ɑmɑɾi jo̞kɯ̥ nɑi no̞ni do̞ːɕi ̥te̞ ko̞nnɑ ni tɑkɑi no̞ de̞sɯ̥ kɑ ||","glossika_0074_en_1573475285927.mp3","glossika_0074_ja.mp3",
"0075","What's your phone number?","あなた の 電話番号 は 何番 です か？","あなた の でんわばんごう は なんばん です か？","anata no deɴwabaɴgō wa naɴbaɴ desu ka?","[ɑnɑtɑ no̞ de̞ɴɰɑbɑŋɡo̞ː ɰɑ nɑmbɑn de̞sɯ̥ kɑ ||","glossika_0075_en_1573475285927.mp3","glossika_0075_ja.mp3",
"0076","Who's that man?","あの 男 の 人 は 誰 です か？","あの おとこ の ひと は だれ です か？","ano otoko no hito wa dare desu ka?","[ɑno̞ o̞to̞ko̞ no̞ çi ̥to̞ ɰɑ dɑɾe̞ de̞sɯ̥ kɑ ||","glossika_0076_en_1573475285927.mp3","glossika_0076_ja.mp3",
"0077","He's the boss.","彼 は 社長 です。","かれ は しゃちょう です。","kare wa shachō desu.","[kɑɾe̞ ɰɑ ɕɑʨo̞ː de̞sɯ̥ ||","glossika_0077_en_1573475285927.mp3","glossika_0077_ja.mp3",
"0078","Where's your friend?","あなた の 友達 は どこ です か？","あなた の ともだち は どこ です か？","anata no tomodachi wa doko desu ka?","[ɑnɑtɑ no̞ to̞mo̞dɑʨi ̥ ɰɑ do̞ko̞ de̞sɯ̥ kɑ ||","glossika_0078_en_1573475285927.mp3","glossika_0078_ja.mp3",
"0079","She's in the bathroom.","彼女 は トイレ に います。","かのじょ は トイレ に います。","kanojo wa toire ni imasu.","[kɑno̞ʥo̞ ɰɑ to̞iɾe̞ ni imɑsɯ̥ ||","glossika_0079_en_1573475285927.mp3","glossika_0079_ja.mp3",
"0080","How's your father?","あなた の お父さん は 元気 です か？","あなた の おとうさん は げんき です か？","anata no otōsaɴ wa geɴki desu ka?","[ɑnɑtɑ no̞ o̞to̞ːsɑɰ̃ ɰɑ ɡe̞ŋkʲi ̥ de̞sɯ̥ kɑ ||","glossika_0080_en_1573475285927.mp3","glossika_0080_ja.mp3",
"0081","He's doing great.","彼 は 元気 です よ。","かれ は げんき です よ。","kare wa geɴki desu yo.","[kɑɾe̞ ɰɑ ɡe̞ŋkʲi ̥ de̞sɯ̥ jo̞ ||","glossika_0081_en_1573475285927.mp3","glossika_0081_ja.mp3",
"0082","Are you tired?","疲れました か？","つかれました か？","tsukaremashita ka?","[ʦɯ̥ kɑɾe̞mɑɕi ̥tɑ kɑ ||","glossika_0082_en_1573475285927.mp3","glossika_0082_ja.mp3",
"0083","Yes, I am.","はい、疲れました。","はい、つかれました。","hai, tsukaremashita.","[hɑi | ʦɯ̥ kɑɾe̞mɑɕi ̥tɑ ||","glossika_0083_en_1573475285927.mp3","glossika_0083_ja.mp3",
"0084","Are you hungry?","お腹 空いて います か？","おなか すいて います か？","onaka suite imasu ka?","[o̞nɑkɑ sɯite̞ imɑsɯ̥ kɑ ||","glossika_0084_en_1573475285927.mp3","glossika_0084_ja.mp3",
"0085","No, but I'm thirsty.","いいえ、空いて いません が、喉 が 渇きました。","いいえ、すいて いません が、のど が かわきました。","īe, suite imaseɴ ga, nodo ga kawakimashita.","[iːe̞ | sɯite̞ imɑse̞ŋ ɡɑ | no̞do̞ ɡɑ kɑɰɑkʲimɑɕi ̥tɑ ||","glossika_0085_en_1573475285927.mp3","glossika_0085_ja.mp3",
"0086","Is your friend Chinese?","あなた の 友達 は 中国人 です か？","あなた の ともだち は ちゅうごくじん です か？","anata no tomodachi wa chūgokujiɴ desu ka?","[ɑnɑtɑ no̞ to̞mo̞dɑʨi ̥ ɰɑ ʨɯːɡo̞kɯʥin de̞sɯ̥ kɑ ||","glossika_0086_en_1573475285927.mp3","glossika_0086_ja.mp3",
"0087","Yes, he is.","はい、そう です。","はい、そう です。","hai, sō desu.","[hɑi | so̞ː de̞sɯ̥ ||","glossika_0087_en_1573475285927.mp3","glossika_0087_ja.mp3",
