"その鍵をいじるな！", "Don’t play with that key! "
"病気と闘う。", "Struggle with disease. "
"これから見つけます。", "I’ll find one later. "
""",
""テーブルを片付",(")けなさい。 Clear off the tabl"
"彼は魚を３匹釣った。", "He caught three fish."
"すばらしいアイデアがうかんだよ。", "I’ve got a splendid idea."
"涙が流れている。", "Tears flow down. "
"布団をたたみなさい。", "Fold up your futon. "
"忘れないでください。", "Please do not forget."
"あなたが後悔しているのなら許してあげよう。", "As you are sorry, I’ll forgive you."
"並んでお待ちください。", "Wait in line, please. "
"明日集まりましょう。", "Let’s get together tomorrow "
"空を仰ぎ見る。", "Look up to the skies. "
"彼は即答を得た。", "He won an immediate response."
"まあまあ、そう怒らないでくださいな。", "Now, please don’t get so angry."
"私はもう着替えました。", "I have already changed my clothes."
"曇ってきた。", "It’s getting cloudy."
"彼女は太っているとはいえないまでも大柄な人だ。", "She is large, not to say fat."
"彼女は少なくとも４０才は越えていると思う。", "I think she’s over 40 years old."
"補足情報には、副詞や副詞のはたらきをするものが入ります。", "Supplementary information includes adverbs and things that function as adverbs. ▾"
"姫路駅で降りなさい。", "Get off at Himeji Station"
"目が疲れやすいです。", "My eyes get tired very easily."
"早く起きろ。", "Get up early"
"夜更かしになれている。", "I’m used to staying up late."
"味噌汁が温まった。", "The miso soup has heated up. "
"あなたは時には妹さんにおこづかいをあげますか。", "Do you sometimes give your sister money?"
"「なあ、そこの姉さん」「え？」「ちょっと相談に乗ってくれないか？」", "“Say, you, the lady over there.” “Eh?” “Could you give me a bit of advice?”"
"必ず明日その本を返しなさい。", "Don’t fail to return the book tomorrow."
"彼女の事が思い切れない。", "I can’t forget her."
"彼はにくらしげに彼女をにらんだ。", "He stared at her with hatred."
"犬は肉を骨からかじりとった。", "The dog bit meat off the bone."
"幼なじみが春から大阪の大学に行くらしい。", "Apparently an old friend of mine is going to a university in Osaka in Spring. ▾"
"エイズウイルスの拡散は恐るべき速さで進んでいる。", "The speed of the spread of AIDS is horrifyingly fast."
"私の時計は狂っている。", "My watch is broken."
"月も出ていない闇夜だった。", "It was a dark night, with no moon."
"旅に出かけたい気がする。", "I feel like going on a trip."
"葉が空中でぐるぐる回っていた。", "Leaves were whirling in the air."
"幕があがった。", "The curtain rose "
"彼女はロープをしっかりと握った。", "She took a strong hold on the rope. ▾"
"友人を迎えに駅まで行ってきたところだ。", "I’ve been to the station to meet a friend."
"植物が生える。", "Plants grow. "
"冬の日は速く暮れる。", "In the winter, days are shorter. "
"みんな死んでいくな。俺も歳取るはずだ。", "Everyone dies. I’ll grow old to "
"嵐は静まった。", "The storm has died down. "
"こんもりと茂った木々の葉を通して日光が差し込んだ。", "The sunshine penetrated the thick leaves of the trees."
"彼女は金持ちの家庭に育った。", "She was brought up in a rich family."
"「うちの愛妻がケチでさー」「のろけてる？愚痴ってる？」", "“My wonderful wife is so stingy that …” “You boasting? Or complaining?”"
"かれに財布を渡して。", "Just give him the wallet. "
"緑色のはありますか。", "Do you have any in green? "
"胃がもたれます。", "My stomach feels heavy. "
"聞いてるの。", "Do you hear me? "
"助けてください。", "I need help. "
"ワインは消化を助ける。", "Wine helps digest food. "
"彼女は彼を手伝った。", "She helped him. "
"トムはテーブルの下に隠れた。", "Tom hid under the table. "
"ベッドの下に隠さないでよ。", "Don’t hide under the bed. "
"彼女は我々と行きたいのだとほのめかした。", "She implied that she would like to come with us. "
"あなたは彼を雇うことができる。", "You can employ him. "
"トムは大きな問題を抱えている。", "Tom has a big problem. "
"急いで！", "Step on it! "
"ひじを痛めました。", "I hurt my elbow. "
"月の上にいると想像しなさい。", "Imagine yourself to be on the moon. "
"体重が増えています。", "I’m gaining weight. "
"雪は冬の到来を示す。", "Snow indicates the coming of winter. "
"あなたは虚言で私は苦しめる。", "Your lies pain me. "
"彼女は中に入るよう誘った。", "She invited him in."
"彼らは彼の提案をやじった。", "They hooted at his suggestion."
"彼はそれについて冗談を言った。", "He made a joke about it."
"鳥は飛ぶ。", "Birds fly."
"彼女は猫を飼っている。その猫は白い。", "She has a cat. The cat is white"
"彼は私の横っ腹を蹴った。", "He kicked my side."
"喫煙は人を殺す。", "Smoking kills. "
"彼は彼女にきづかれないようにさっとキスした。", "He stole a kiss from her. "
"知らない。", "I don’t know."
"その飛行機は十時に飛行場に着陸します。", "The plane will land at the airport at ten o’clock. "
"妹は心ゆくまで笑った。", "My sister laughed to her heart’s content."
"床に伏せろ！", "Get down on the floor! "
"友達を連れてきなさい。", "Bring along your friend. "
"彼女はその秘密を友達にもらした。", "She babbled out the secret to her friend."
"ニュースがもれた。", "The news leaked out. "
"この家は傾いている。", "This house is leaning to one side. "
"学びます。", "I will learn. "
"チェコ語を習っている。", "I’m learning Czech. "
"犯人は足跡を残していた。", "The criminal left footprints. "
"傷あとが残りますか。", "Will I have a scar? "
"金を貸す。", "I lend money. "
"猫は足の先をなめていた。", "The cat was licking its paws. "
"うそを言うな。", "Don’t you lie! "
"ただしかっこいい男に限る。", "However that’s only for handsome men. "
"我々は大きさの順に並べた。", "We arranged the books according to size. "
"裕福に暮らす。", "Live in affluence. "
"現在は舞子に住んでいません。", "I don’t live in Maigo now."
"私を見て。", "Look at me. "
"彼女は彼を間抜けな人間とみなした。", "She regarded him as stupid"
"負けるな。", "Don’t give in. "
"少しやせました。", "I’ve lost a little weight."
"鉛筆を落としましたよ。", "You dropped your pencil."
"失うものは何もない。", "I won’t lose anything."
"時計をなくしました。", "I lost the watch. "
"愛してます。", "I love you. "
"母親は往々にして子供をかわいがり過ぎる。", "Mothers often pamper their children. "
"手を下げろ。", "Put your hand down. "
"バターはクリームで作る。",""
"街中でイチャイチャするカップル見たら腹立ちませんか？", "Doesn’t it irritate you to see couples making out around town?"
"間違えちゃった。", "I made a mistake. "
"彼はおおいに稼ぐ。", "He earns a great deal. "
"そんなに騒ぐな。", "Don’t make so much noise. "
"長いわずらいで彼は借金をこさえた。", "His long sickness ran him into debt."
"彼女と結婚したい。", "I want to marry her. "
"目と目が合った。", "Their eyes met. "
"りんごが熟している。", "The apples are ripe. "
"体温を計る。", "Take one’s temperature."
"来月会いしましょう。", "I’ll see you next month. "
"砂糖は水に溶ける。", "Sugar dissolves in water. "
"あう～、あたしったらまたドジっちゃいました。", "Ahh, silly me, I’ve messed up again."
"的を外してしまった。", "I’ve missed my aim. "
"牛乳と卵を混ぜなさい。", "Blend milk and eggs together. "
"地面が動いた。", "The ground rocked."
"信仰は山をも動かす。", "Faith can move mountains."
"この新人のアナウンサー、さっきからとちってばかりいる。", "This new announcer keeps stumbling."
"さんかけるさんはきゅう。", "Three times three is nine "
"昼食はいらない。", "I don’t want lunch."
"後で知らせるよ。", "I’ll let you know later. "
"いつ起こったの？", "When did this occur? "
"目を開けてください。", "Open your eyes, please. "
"本を開くな。", "Don’t open your book. "
"じゃあ注文します。", "OK, I’ll order it. "
"町は活気でみなぎっていた。", "The town was humming with activity. "
"見逃すことはありませんよ。", "You can’t miss it. "
"トムは彼を殴り倒した。", "Tom knocked him down."
"壁を塗っている人は私のお父さんだ。", "The man painting the wall is my father."
"彼らは非常にあわてていた。", "They were very confused. "
"その取っ手を右にねじると箱は開きます。", "Twist that knob to the right and the box will open."
"トムはガールフレンドと別れた。", "Tom broke up with his girlfriend."
"恐ろしい考えが私の心をよぎった。", "A fearful thought entered my mind."
"しかし回収時間が早すぎるため、ゴミの日に出すことが難しいです。", "Moreover it’s difficult to get rubbish out for garbage day because the collection time is too early."
"私が払います。", "I’ll pay."
"肉体は滅びるが霊魂は不滅である。", "A man’s body dies, but his soul is immortal."
"それ、わたしを口説いてるの？", "Are you making a pass at me?"
"私にお金をせびらないでくれ。", "Don’t pester me for money. "
"彼は友達のノートを写すのに忙しかった。", "He was busy copying his friend’s notebook."
"彼らは木の実を拾い集めている。", "They are gathering nuts."
"鼻をほじるな。", "Don’t pick your nose."
"雪は２メートル積もった。", "Snow fell two meters deep."
"彼は悪事を重ねた。", "He committed one crime after another. "
"彼女は私の腕をきつくつねった。", "She pinched my arm sharply."
"鈴木氏はいろいろと説得して息子の留学計画をやめさせた。", "Mr Suzuki persuaded his son to drop his plan to study abroad."
"投資家グループは企業買収を企てています。", "An investors’ group is attempting a leveraged buy-out of the firm."
"彼女は庭でバラを植えている。", "She’s in the garden planting roses."
"遊ぶよりはまず仕事。", "Business before pleasure. "
"妹の方が私よりも上手にピアノを弾けます。", "My sister can play the piano better than I can."
"彼女の愛情をもて遊ぶな。", "Don’t toy with her affections. "
"彼は何か企んでいるように思える。", "I think he is planning something."
"ぐはっ！？俺の貴重な頭髪を、むしるな！", "O-oi!? Don’t rip off my precious hair"
"蚊が刺した。", "A mosquito just bit me."
"彼女の車はぴかぴかに磨いてある。", "Her car has a nice polish."
"彼女は滞在を５日間延ばした。", "She extended her stay by five days."
"みんないつもトニーをほめる。", "Everyone always speaks well of Tony. "
"みんなで祈ろう。", "Let’s all pray together. "
"仕事が多いので旅行はのでさきのばしにしている。", "I have so much work to do that I’m procrastinating."
"鳥は卵を産む。", "Birds lay eggs. "
"彼はかなりの金をもうけた。", "He has earned a lot of money. "
"彼らは祖国を守った。", "They defended their country. "
"この事実は彼の無罪を証明している。", "These facts prove that he is innocent. "
"潮の全てはひく。", "Every tide has its ebb. "
"彼は彼女を殴った。", "He slapped her. "
"押しボタンを押して下さい。", "Push the button, please. "
"ここに置いていいですか？", "May I put it here? "
"中に入れてよ。", "Let me in. "
"マトと玉ねぎをのせてください。", "I’ll have tomato and onion. "
"靴を履いて。", "Put on your shoes. "
"郵便が届いた。", "The mail has arrived. "
"彼女は母親にはとても及ばない。", "She is not anything like her mother. "
"本を読んでいるところです。", "I am reading a book. "
"彼らはお互いにすぐなじんだ。", "They soon became quite accustomed to each other. "
"報酬を受け取るのを彼のプライドが許さなかった。", "He was too proud to accept any reward."
"うん。前の先生に紹介してもらって、転院したの。", "Yes. She got an introduction from her previous doctor and transferred to another hospital."
"我々は彼の才能を認めている。", "We appreciate his talent."
"彼女は自分の経費を減らそうとしている。", "She tried to lower her expenses."
"彼女は彼の求婚を断った。", "She turned down his proposal."
"彼の死は惜しんでも余りあるものだ。", "We cannot grieve over his death too deeply."
"ああ思い出したぞ。", "Now I remember."
"覚えていない。", "I don’t remember. "
"それから彼はメガネをはずした。", "He took off his glasses after that. "
"誤りを直せ。", "Correct errors. "
"歴史は繰り返す。", "History repeats itself. "
"頼むよー。", "I’m begging you. "
"誰でも幸福を求める。", "Everyone seeks happiness. "
"彼女は自分の子供達が溺れるのを、救った。", "She saved her children from drowning."
"メアリーは父親似だ。", "Mary takes after her father. "
"僕は彼のような奴を尊敬したくない。", "I don’t want to respect a man like him."
"休みたいですか。", "Do you want to rest?"
"彼は怒りを抑えた。", "He forbore his anger. "
"家に帰る。", "I’m going home. "
"すぐに戻ります。", "I’ll return immediately. "
"それを私に戻して下さい。", "Bring it back to me. "
"第５課を復習しましょう。", "Let’s review Lesson 5. "
"彼は私の努力をあざけった。", "He mocked my efforts. "
"彼の努力が実った。", "His efforts bore fruit. "
"列車が橋の上を走っているのを見てごらん。", "Look at the train going over the bridge."
"逃げるな。", "Don’t you go away. "
"彼は富を蓄えた。", "He has accumulated wealth. "
"原住民は雨水をためて飲料水にしている。", "The natives collect and store rain-water to drink."
"「あばたもえくぼ」って言うからね。", "They say love is blind"
"父は私が時間を守らないと言って叱った。", "My father scolded me for not being punctual."
"怪我をしないうちから泣き叫ぶな。", "Don’t scream before you get injured. "
"何を探しているの？What", "are you looking for?"
"コートを探してます。", "I’m looking for a coat."
"我々を見てにたりと笑った。", "He grinned broadly at us."
"母は自分の大切なものをすべて売ってしまった。", "My mother has sold everything that is dear to her"
"駅まで車で送ってくれませんか。", "Could you give me a lift to the train station?"
"彼は私がいることに気づいた。", "He noticed my presence."
"なぜ頭から離れない。", "Why do I even care?"
"降ろうが照ろうが、私は行く。", "I will go, rain or shine"
"凍結した道路が日光を浴びてまばゆく光った。", "The icy road sparkled in the sunlight."
"夜は太陽が輝かない。", "The sun doesn’t shine at night."
"動くな撃つぞ。", "Don’t move, or I’ll shoot you."
"料金表を見せて下さい。", "Show me a list of your rates, please."
"忘れずに安全ベルトを閉めなさい。", "Don’t forget to fasten your safety belts."
"はい。これならそらで歌えます。", "Yes. This one I can sing from memory."
"今日は休んで明日観光します。", "We’ll rest today, but sightsee tomorrow. "
"授業の終わり近くになると、教師が一言も「静かにしなさい」「座りなさい！」と言わないにもかかわらず、自然と子どもたちは自分の席に戻り静かになる。", "As the lesson comes to an end, even if the teacher doesn’t say a word of “be quiet”, “sit down!,” the children naturally return to their seats and quieten down."
"彼女は腰掛けて足を組んだ。", "She sat down and crossed her legs."
"彼らはいつも学校をサボっています。", "They skip school all the time. "
"寝るのが好き。", "I like sleeping. "
"その子はお行儀悪くして母親に平手打ちされた。", "That kid got a slap from his mother for being rude. "
"彼は氷の上ですべった。", "He slipped on the ice. "
"誰がこれを壊したのですか？", "Who broke this? "
"私はタバコを吸う。", "I smoke cigarettes. "
"うちの犬がくしゃみするのは見たことあるけど、猫は一度もないな。", "I’ve seen my dog sneeze but never my cat "
"この問題は解くのが難しい。", "This problem is difficult to solve. "
"私は床に卵をこぼした。", "I spilled egg on the floor. "
"ミルクが煮えこぼれた。", "The milk boiled over. "
"床にカーペットを敷いた。", "They laid the carpet on the floor. "
"ニュースはすぐに広まった。", "The news quickly spread. "
"旅行は人の視野を広める。", "Travel broadens one’s horizons. "
"彼を見張れ。", "Keep watch on him. "
"気長に構える必要があります。", "You have to be patient. "
"立ちなさい。", "Stand up! "
"では始めましょう。", "Then let us begin. "
"盗むのは悪いことだ。", "It is bad to steal. "
"彼は電車の中で、態と私の足を踏みました。", "He trod on my foot on purpose in the train."
"封筒にもう１枚切手をはりなさい。", "Stick another stamp on the envelope."
"ここで止まるな。", "Don’t stop here. "
"黙ってろ。さもないと命はないぞ。", "Hold your tongue, or you’ll be killed."
"喋るのをやめろ。", "Stop talking. "
"守りを固めろ！来るぞ！", "Tighten the defences! They’re coming! "
"このビタミンは病気に対する抵抗力を強めます。", "This vitamin boosts your immune system from diseases. "
"彼は勉強に励んでいる。", "He is diligent in his study."
"バスの中ほどへ詰めて下さい。", "Move into the bus, please!"
"新しいメルマガに登録しました",."I subscribed to a new email magazine."
"はちひくいちはななです。", "Eight minus one is seven. "
"彼は必ず成功する。", "He is sure to succeed "
"胃痛に苦しむ。", "I suffer from a stomach ache. "
"これはだれかの言い出したことかい。", "Was this somebody else’s idea? "
"夢は叶った。", "Dreams came true."
"彼女は彼が貧しいときも彼を支えるすばらしい配偶者だった。", "She was an excellent spouse who stood by him through poverty."
"彼女の家は白い垣根で囲まれている。", "Her house is surrounded by a white fence."
"彼は泳げる。", "He can swim."
"メモを取りなさい。", "You should take notes. "
"何分かかりますか。", "How long is the ride? "
"さっとシャワーを浴びた。", "She grabbed a shower. "
"がそれを引き受けます。", "I’ll see to it. "
"コートを脱ぎなさい。", "Take off your coat. "
"午後十時に離陸する", "take off at 10 PM "
"私は関わっていない。", "I am not getting involved. "
"ジャックは英語を話す。", "Jack speaks English."
"それを他の言葉に言い換えなさい。", "Say it in another way. "
"教える事は学ぶ事である。", "Teaching is learning. "
"彼は決して約束やぶらない。", "He never breaks his promise."
"人前で彼を冷やかすなんて君は意地悪だ。", "It is mean of you to ridicule him in public."
"彼は息子の怠惰さを戒めた。", "He admonished his son for being lazy. "
"このソース試してみて。", "Try this sauce "
"心から感謝します。", "I really appreciate it. "
"考えてください。", "Please think it over. "
"そう思います。", "I agree."
"良いアイデアが思いついた。", "A good idea came to mind. "
"ボールを投げてください。", "Please throw the ball. "
"こにゴミを捨てるべからず。", "Don’t throw trash here. "
"靴の紐を結びなさい。", "Tie your shoelaces. "
"もちろん利潤は生産費を上回るべきです。", "Benefits of course should exceed the costs. "
"彼は以前友達をいじめていた。", "He used to bully his friends. "
"私をいびらないで。", "Don’t pick on me, please. "
"手を触れるな。", "Don’t touch. "
"それに触るな。", "Don’t touch it. "
"乗り換えるのですか。", "Do I have to change trains? "
"私はよく旅行します。", "I often travel. "
"私を騙さないで下さい。", "Don’t deceive me. "
"スカイダイビングに挑戦したいのです。", "I’d like to try skydiving."
"左へ曲がりなさい。", "Turn to the left. "
"電気を消すな。", "Don’t turn off the light. "
"ラジオをつけなさい。", "Turn on the radio."
"その取っ手を右にねじると箱は開きます。", "Twist that knob to the right and the box will open."
"その取っ手を右にねじると箱は開きます。", "Twist that knob to the right and the box will ope"
"分かる、分かる。", "I know what you mean."
"私はテニスで彼女と組んだ。", "I partnered her in tennis. "
"その問題を解くのは難しい。", "The problem is difficult to solve. "
"私がそれを使います。", "I use it. "
"私がそれを使います。", "I use it. "
"頭痛が消えた。", "My headache has gone away. "
"私は大変気分が悪い。ゲロをはきたいです。", "I feel very sick. I want to throw up. "
"ちょっと待って。", "Wait a moment. "
"彼女は彼を起こした。", "She woke him up. "
"歩きましょうか。", "Shall we walk? "
"赤ん坊は母乳を欲しがる。", "A baby craves its mother’s milk. "
"足を洗いなさい。", "Wash your feet. "
"この部屋はすぐに暖まる。", "This room will soon heat up. "
"私はテレビを見る。", "I watch television. "
"星をながめるのは興味深",(")い。 It is interesting to watch stars."
"コートを着なさい。", "Put on your coat. "
"彼女は帽子をかぶった。", "She put on her hat. "
"どっちが勝ってるの？", "Who’s winning? "
"彼女はよく働く。", "She works hard. "
"あなたはどこに勤めていますか。", "Where do you work? "
"彼女は君の安否を気遣っているよ。", "She has anxiety for your safety. "
"この記念碑は祖国に命を捧げた兵士を祭っている。", "This monument is dedicated to the soldiers who gave their lives to their country."
"他人を傷つけることはよくない。", "It is bad to hurt others."
"美しい包装紙に包んでもらえますか。", "Could you gift wrap it?"
"脚本を書いていて、行き詰まった時はどうする？", "What do you do when you get writer’s block while writing a script?"
"大あくびをして。", "Yawn a big long yawn. "
"私に怒鳴ったりしないでよ。", "Don’t yell at me. "
