word-kanji,word-kana,meaning,grammar,sentence-1-kanji,sentence-1-kana,sentence-1-meaning,sentence-2-kanji,sentence-2-kana,sentence-2-meaning,audio-word,audio-sentence-1,audio-sentence-2

"出る","出る","でる","go out, leave","verb","今朝は早く家を出ました。","けさ は はやく いえ を でました。","I left the house early this morning.","今日は5時に会社を出ます。","きょう は 5 じ に かいしゃ を でます。","I'll leave the office at five today.","[sound:C1K-P01-031.mp3]","[sound:C1K-P01-032.mp3]","[sound:C1K-P01-033.mp3]"
"使う","使う","つかう","use, make use of","verb","このパソコンを使ってください。","この パソコン を つかって ください。","Please use this computer.","彼女は辞書をよく使います。","かのじょ は じしょ を よく つかいます。","She often uses a dictionary.","[sound:C1K-P01-034.mp3]","[sound:C1K-P01-035.mp3]","[sound:C1K-P01-036.mp3]"
"所","所","ところ","place","noun","私は友達の所に泊まった。","わたし は ともだち の ところ に とまった。","I stayed at my friend's place for the night.","今年の夏休みには静かな所へ行きたい。","ことし の なつやすみ に は しずかな ところ へ いきたい。","I want to go to a quiet place this summer vacation.","[sound:C1K-P01-037.mp3]","[sound:C1K-P01-038.mp3]","[sound:C1K-P01-039.mp3]"
"作る","作る","つくる","make, create","verb","今、朝ご飯を作っています。","いま、あさ ごはん を つくって います。","I'm making breakfast now.","母がコーンスープを作っている。","はは が コーン スープ を つくって いる。","My mother is making some corn chowder.","[sound:C1K-P01-040.mp3]","[sound:C1K-P01-041.mp3]","[sound:C1K-P01-042.mp3]"
"思う","思う","おもう","think","verb","私もそう思います。","わたし も そう おもいます。","I think so, too.","あなたはどう思いますか。","あなた は どう おもいます か。","What do you think?","[sound:C1K-P01-043.mp3]","[sound:C1K-P01-044.mp3]","[sound:C1K-P01-045.mp3]"
"持つ","持つ","もつ","have, possess","verb","私は車を持っています。","わたし は くるま を もって います。","I have a car.","私は黒いバッグを持っています。","わたし は くろい バッグ を もって います。","I have a black bag.","[sound:C1K-P01-046.mp3]","[sound:C1K-P01-047.mp3]","[sound:C1K-P01-048.mp3]"
"買う","買う","かう","buy","verb","郵便局で切手を買いました。","ゆうびんきょく で きって を かいました。","I bought a stamp at the post office.","本を1冊買いました。","ほん を 1 さつ かいました。","I bought one book.","[sound:C1K-P01-049.mp3]","[sound:C1K-P01-050.mp3]","[sound:C1K-P01-051.mp3]"
"時間","時間","じかん","time, hour","noun","今は時間がありません。","いま は じかん が ありません。","I don't have time now.","まだ学校へ行くには早い時間です。","まだ がっこう へ いく に は はやい じかん です。","It's still too early to go to school.","[sound:C1K-P01-052.mp3]","[sound:C1K-P01-053.mp3]","[sound:C1K-P01-054.mp3]"
"知る","知る","しる","know","verb","誰もその話を知らない。","だれ も その はなし を しらない。","No one knows that story.","あの女の子を知っていますか。","あの おんなのこ を しって います か。","Do you know that girl?","[sound:C1K-P01-055.mp3]","[sound:C1K-P01-056.mp3]","[sound:C1K-P01-057.mp3]"
"同じ","同じ","おなじ","same, identical","adjectival noun","彼の日本語のレベルは私と同じくらいだ。","かれ の にほん ご の レベル は わたし と おなじ くらい だ。","His Japanese level is about the same as mine.","いとこと私は同じ年です。","いとこ と わたし は おなじ とし です。","My cousin and I are the same age.","[sound:C1K-P01-058.mp3]","[sound:C1K-P01-059.mp3]","[sound:C1K-P01-060.mp3]"
"今","今","いま","now","adverb","彼は今、勉強しています。","かれ は いま、べんきょう して います。","He's studying now.","今ホテルに着きました。","いま ホテル に つきました。","I've just arrived at the hotel.","[sound:C1K-P01-061.mp3]","[sound:C1K-P01-062.mp3]","[sound:C1K-P01-063.mp3]"
"新しい","新しい","あたらしい","new","adverb","彼の車は新しい。","かれ の くるま は あたらしい。","His car is new.","新しいテーブルを買いました。","あたらしい テーブル を かいました。","I bought a new table.","[sound:C1K-P01-064.mp3]","[sound:C1K-P01-065.mp3]","[sound:C1K-P01-066.mp3]"
"なる","なる","なる","become","verb","彼は医者になりました。","かれ は いしゃ に なりました。","He became a doctor.","私は日本語の先生になりたいです。","わたし は にほん ご の せんせい に なりたい です。","I want to become a Japanese teacher.","[sound:C1K-P01-067.mp3]","[sound:C1K-P01-068.mp3]","[sound:C1K-P01-069.mp3]"
"まだ","まだ","まだ","(not) yet, still","adverb","宿題はまだ終わっていません。","しゅくだい は まだ おわって いません。","I haven't finished my homework yet.","彼はまだ若いです。","かれ は まだ わかい です。","He's still young.","[sound:C1K-P01-070.mp3]","[sound:C1K-P01-071.mp3]","[sound:C1K-P01-072.mp3]"
"あと","あと","あと","after","noun","仕事のあと、映画を見た。","しごと の あと、 えいが を みた。","I saw a movie after work.","このあと、時間がありますか。","この あと、じかん が あります か。","Do you have time after this?","[sound:C1K-P01-073.mp3]","[sound:C1K-P01-074.mp3]","[sound:C1K-P01-075.mp3]"
"聞く","聞く","きく","hear, ask, listen","verb","彼女はラジオを聞いています。","かのじょ は ラジオ を きいて います。","She's listening to the radio.","誰かに聞いてみてください。","だれ か に きいて みて ください。","Please ask someone.","[sound:C1K-P01-076.mp3]","[sound:C1K-P01-077.mp3]","[sound:C1K-P01-078.mp3]"
"言う","言う","いう","say, tell","verb","上司が「一杯、飲もう」と言った。","じょうし が 「いっぱい のもう」 と いった。","My boss said: ""Let's have a drink.""","彼はまた電話すると言いました。","かれ は また でんわ する と いいました。","He said he'd call again.","[sound:C1K-P01-079.mp3]","[sound:C1K-P01-080.mp3]","[sound:C1K-P01-081.mp3]"
"少ない","少ない","すくない","few, little","adjective","今年は雨が少ないです。","ことし は あめ が すくない です。","There's not much rain this year.","この町には外人が少ない。","この まち に は がいじん が すくない。","There are few foreigners in this town.","[sound:C1K-P01-082.mp3]","[sound:C1K-P01-083.mp3]","[sound:C1K-P01-084.mp3]"
"高い","高い","たかい","high, tall","adjective","これがこの町で一番高いビルです。","これ が この まち で いちばん たかい ビル です。","This is the tallest building in this town.","彼はクラスで一番背が高い。","かれ は クラス で いちばん せ が たかい。","He's the tallest in class.","[sound:C1K-P01-085.mp3]","[sound:C1K-P01-086.mp3]","[sound:C1K-P01-087.mp3]"
"子供","子供","こども","child","noun","電車で子供が騒いでいた。","でんしゃ で こども が さわいで いた。","Children were making a lot of noise in the train.","子供はカレーライスが好きです。","こども は カレーライス が すき です。","Kids like curry and rice.","[sound:C1K-P01-088.mp3]","[sound:C1K-P01-089.mp3]","[sound:C1K-P01-090.mp3]"
"そう","そう","そう","so, that way","adverb","私もそう思います。","わたし も そう おもいます。","That's what I think too.","彼女はそう言いました。","かのじょ は そう いいました。","She said so.","[sound:C1K-P01-091.mp3]","[sound:C1K-P01-092.mp3]","[sound:C1K-P01-093.mp3]"
"もう","もう","もう","already, yet","adverb","彼はもう帰りました。","かれ は もう かえりました。","He's already gone home.","もうお金が無くなりました。","もう おかね が なくなりました。","I've run out of money already.","[sound:C1K-P01-094.mp3]","[sound:C1K-P01-095.mp3]","[sound:C1K-P01-096.mp3]"
"学生","学生","がくせい","student","noun","彼は真面目な学生です。","かれ は まじめな がくせい です。","He's a serious student.","僕は学生です。","ぼく は がくせい です。","I'm a student.","[sound:C1K-P01-097.mp3]","[sound:C1K-P01-098.mp3]","[sound:C1K-P01-099.mp3]"
"熱い","熱い","あつい","hot (to touch)","adjective","このスープはとても熱い。","この スープ は とても あつい。","This soup is very hot.","私のお祖母ちゃんは熱いお茶が好きです。","わたし の おばあちゃん は あつい おちゃ が すき です 。","My grandmother likes hot tea.","[sound:C1K-P01-100.mp3]","[sound:C1K-P01-101.mp3]","[sound:C1K-P01-102.mp3]"
"どうぞ","どうぞ","どうぞ","please","adverb","こちらへどうぞ。","こちら へ どうぞ。","This way please.","次の方、どうぞ。","つぎ の かた、どうぞ。","Next please.","[sound:C1K-P01-103.mp3]","[sound:C1K-P01-104.mp3]","[sound:C1K-P01-105.mp3]"
"午後","午後","ごご","afternoon, p.m.","noun","明日の午後、お客様が来る。","あす の ごご おきゃくさま が くる。","A guest is coming to visit tomorrow afternoon.","午後8時に大阪に着きます。","ごご 8 じ に おおさか に つきます。","I will arrive in Osaka at 8:00 pm.","[sound:C1K-P01-106.mp3]","[sound:C1K-P01-107.mp3]","[sound:C1K-P01-108.mp3]"
"長い","長い","ながい","long","adjective","彼女の髪はとても長い。","かのじょ の かみ は とても ながい。","Her hair is very long.","夏は日が長い。","なつ は ひ が ながい。","Days are longer in summer.","[sound:C1K-P01-109.mp3]","[sound:C1K-P01-110.mp3]","[sound:C1K-P01-111.mp3]"
"本","本","ほん","book","noun","本を1冊買いました。","ほん を 1 さつ かいました。","I bought one book.","この本はすごく面白かった。","この ほん は すごく おもしろかった。","This book was very interesting.","[sound:C1K-P01-112.mp3]","[sound:C1K-P01-113.mp3]","[sound:C1K-P01-114.mp3]"
"今年","今年","ことし","this year (colloquial)","noun","今年はイタリアに旅行したい。","ことし は イタリア に りょこう したい。","I want to travel to Italy this year.","今年は雨が少ないです。","ことし は あめ が すくない です。","There's not much rain this year.","[sound:C1K-P01-115.mp3]","[sound:C1K-P01-116.mp3]","[sound:C1K-P01-117.mp3]"
"よく","よく","よく","often, well","adverb","彼女はよく旅行に行きます。","かのじょ は よく りょこう に いきます。","She often goes on holiday.","彼はよく映画を見ます。","かれ は よく えいが を みます。","He often watches movies.","[sound:C1K-P01-118.mp3]","[sound:C1K-P01-119.mp3]","[sound:C1K-P01-120.mp3]"
"彼女","彼女","かのじょ","she, girlfriend","pronoun","彼女はOLです。","かのじょ は オーエル です。","She's an office worker.","彼女はいつも元気だ。","かのじょ は いつも げんき だ。","She's always full of energy.","[sound:C1K-P01-121.mp3]","[sound:C1K-P01-122.mp3]","[sound:C1K-P01-123.mp3]"
"どう","どう","どう","how, what","interrogative","あなたはどう思いますか。","あなた は どう おもいます か。","What do you think?","私はどうしたらいいですか。","わたし は どう したら いい です か。","What should I do?","[sound:C1K-P01-124.mp3]","[sound:C1K-P01-125.mp3]","[sound:C1K-P01-126.mp3]"
"言葉","言葉","ことば","word, language","noun","この言葉の意味が分かりません。","この ことば の いみ が わかりません。","I don't understand the meaning of this word.","言葉に気を付けてください。","ことば に き を つけて ください。","Watch your mouth.","[sound:C1K-P01-127.mp3]","[sound:C1K-P01-128.mp3]","[sound:C1K-P01-129.mp3]"
"顔","顔","かお","face","noun","彼はタオルで顔を拭きました。","かれ は タオル で かお を ふきました。","He wiped his face with a towel.","早く顔を洗いなさい。","はやく かお を あらいなさい。","Hurry up and wash your face.","[sound:C1K-P01-130.mp3]","[sound:C1K-P01-131.mp3]","[sound:C1K-P01-132.mp3]"
"終わる","終わる","おわる","finish, end","verb","会議は4時に終わります。","かいぎ は 4 じ に おわります。","The conference ends at four o'clock.","やっと仕事が終わりました。","やっと しごと が おわりました。","Finally, I finished my work.","[sound:C1K-P01-133.mp3]","[sound:C1K-P01-134.mp3]","[sound:C1K-P01-135.mp3]"
"一つ","一つ","ひとつ","one (thing)","noun","それを一つください。","それ を ひとつ ください。","Please give me one of those.","問題が一つあります。","もんだい が ひとつ あります。","There's one problem.","[sound:C1K-P01-136.mp3]","[sound:C1K-P01-137.mp3]","[sound:C1K-P01-138.mp3]"
"あげる","あげる","あげる","give, offer (colloquial)","verb","この本、あなたにあげます。","この ほん、あなた に あげます。","I'll give you this book.","赤ちゃんにミルクをあげた。","あかちゃん に ミルク を あげた。","I gave the baby some milk.","[sound:C1K-P01-139.mp3]","[sound:C1K-P01-140.mp3]","[sound:C1K-P01-141.mp3]"
"こう","こう","こう","like this, such","adverb","こう小さい字は読めない。","こう ちいさい じ は よめない。","I can't read such small letters.","母はいつも私に「こうしなさい。」と言います。","はは は いつも わたし に 「こう しなさい。」 と いいます。","My mother always tells to do things ""this (her) way.""","[sound:C1K-P01-142.mp3]","[sound:C1K-P01-143.mp3]","[sound:C1K-P01-144.mp3]"
"学校","学校","がっこう","school","noun","学校は8時半に始まります。","がっこう は 8 じ はん に はじまります。","School starts at 8:30.","この学校は1クラス30人です。","この がっこう は 1 クラス 30 にん です。","This school has 30 people in each class.","[sound:C1K-P01-145.mp3]","[sound:C1K-P01-146.mp3]","[sound:C1K-P01-147.mp3]"
"くれる","くれる","くれる","be given","verb","友達が誕生日プレゼントをくれた。","ともだち が たんじょうび プレゼント を くれた。","My friend gave me a birthday present.","父が本をくれました。","ちち が ほん を くれました。","My father gave me a book.","[sound:C1K-P01-148.mp3]","[sound:C1K-P01-149.mp3]","[sound:C1K-P01-150.mp3]"
"始める","始める","はじめる","start (something)","verb","テストを始めてください。","テスト を はじめて ください。","Please start the test.","そろそろ始めましょうか。","そろそろ はじめましょう か。","Shall we start?","[sound:C1K-P01-151.mp3]","[sound:C1K-P01-152.mp3]","[sound:C1K-P01-153.mp3]"
"起きる","起きる","おきる","get up, get out of bed","verb","私は毎朝6時に起きます。","わたし は まいあさ 6 じ に おきます。","I get up at six o'clock every morning.","今日は7時に起きました。","きょう は 7 じ に おきました。","I got up at seven today.","[sound:C1K-P01-154.mp3]","[sound:C1K-P01-155.mp3]","[sound:C1K-P01-156.mp3]"
"春","春","はる","spring","noun","今年の春は暖かいね。","ことし の はる は あたたかい ね。","It's warm this spring, don't you think?","私の一番好きな季節は春です。","わたし の いちばん すきな きせつ は はる です。","My favorite season is spring.","[sound:C1K-P01-157.mp3]","[sound:C1K-P01-158.mp3]","[sound:C1K-P01-159.mp3]"
"午前","午前","ごぜん","morning, a.m.","noun","午前9時のニュースです。","ごぜん 9 じ の ニュース です。","Now for the 9.00 a.m. news.","ロンドンには午前10時に着きます。","ロンドン に は ごぜん 10 じ に つきます。","We're going to arrive in London at 10:00 a.m.","[sound:C1K-P01-160.mp3]","[sound:C1K-P01-161.mp3]","[sound:C1K-P01-162.mp3]"
"別","別","べつ","another, different","adjectival noun","別の本も見せてください。","べつ の ほん も みせて ください。","Please show me another book.","このTシャツの別の色はありますか。","この ティーシャツ の べつ の いろ は あります か。","Do you have this T-shirt in another color?","[sound:C1K-P01-163.mp3]","[sound:C1K-P01-164.mp3]","[sound:C1K-P01-165.mp3]"
"どこ","どこ","どこ","where","interrogative","あの本をどこに置きましたか。","あの ほん を どこ に おきました か。","Where did you put that book?","郵便局はどこですか。","ゆうびんきょく は どこ です か。","Where's the post office?","[sound:C1K-P01-166.mp3]","[sound:C1K-P01-167.mp3]","[sound:C1K-P01-168.mp3]"
"部屋","部屋","へや","room","noun","私の部屋は2階にあります。","わたし の へや は 2 かい に あります。","My room is on the second floor.","そっちが私の部屋です。","そっち が わたし の へや です。","That's my room over there.","[sound:C1K-P01-169.mp3]","[sound:C1K-P01-170.mp3]","[sound:C1K-P01-171.mp3]"
"若い","若い","わかい","young","adjective","彼はまだ若いです。","かれ は まだ わかい です。","He's still young.","その店は若い客が多いです。","その みせ は わかい きゃく が おおい です。","That shop has a lot of young customers.","[sound:C1K-P01-172.mp3]","[sound:C1K-P01-173.mp3]","[sound:C1K-P01-174.mp3]"
"車","車","くるま","car, automobile","noun","弟が車を買った。","おとうと が くるま を かった。","My younger brother bought a car.","車を止めて。","くるま を とめて。","Stop the car.","[sound:C1K-P01-175.mp3]","[sound:C1K-P01-176.mp3]","[sound:C1K-P01-177.mp3]"
"置く","置く","おく","put, place","verb","彼はかばんをいすの上に置きました。","かれ は かばん を いす の うえ に おきました。","He put the bag on the chair.","あの本をどこに置きましたか。","あの ほん を どこ に おきました か。","Where did you put that book?","[sound:C1K-P01-178.mp3]","[sound:C1K-P01-179.mp3]","[sound:C1K-P01-180.mp3]"
"住む","住む","すむ","live, reside","verb","彼は会社の近くに住んでいる。","かれ は かいしゃ の ちかく に すんで いる。","He lives near his office.","彼はアパートに住んでいます。","かれ は アパート に すんで います。","He lives in an apartment.","[sound:C1K-P01-181.mp3]","[sound:C1K-P01-182.mp3]","[sound:C1K-P01-183.mp3]"
"働く","働く","はたらく","work","verb","姉は銀行で働いています。","あね は ぎんこう で はたらいて います。","My big sister works at a bank.","彼女はパートで働いています。","かのじょ は パート で はたらいて います。","She is working part time.","[sound:C1K-P01-184.mp3]","[sound:C1K-P01-185.mp3]","[sound:C1K-P01-186.mp3]"
"難しい","難しい","むずかしい","difficult","adjective","この本は難しいですね。","この ほん は むずかしい です ね。","This book is difficult.","外国語を習うのは難しい。","がいこく ご を ならう の は むずかしい 。","Learning foreign languages is hard.","[sound:C1K-P01-187.mp3]","[sound:C1K-P01-188.mp3]","[sound:C1K-P01-189.mp3]"
"先生","先生","せんせい","teacher (colloquial)","noun","私は日本語の先生になりたいです。","わたし は にほん ご の せんせい に なりたい です。","I want to become a Japanese teacher.","彼の父親は先生です。","かれ の ちちおや は せんせい です。","His father is a teacher.","[sound:C1K-P01-190.mp3]","[sound:C1K-P01-191.mp3]","[sound:C1K-P01-192.mp3]"
"立つ","立つ","たつ","stand, rise","verb","彼はステージに立った。","かれ は ステージ に たった。","He stood on stage.","道の真ん中に人が立っている。","みち の まんなか に ひと が たって いる。","Someone is standing in the middle of the road.","[sound:C1K-P01-193.mp3]","[sound:C1K-P01-194.mp3]","[sound:C1K-P01-195.mp3]"
"呼ぶ","呼ぶ","よぶ","call, name","verb","ウェイターを呼びましょう。","ウェイター を よびましょう。","Let's call the waiter.","タクシーを呼んでください。","タクシー を よんで ください。","Please call a taxi.","[sound:C1K-P01-196.mp3]","[sound:C1K-P01-197.mp3]","[sound:C1K-P01-198.mp3]"
"大学","大学","だいがく","university, college","noun","大学に行ってもっと勉強したいです。","だいがく に いって もっと べんきょう したい です。","I want to go to college and study more.","うちの息子は大学1年生です。","うち の むすこ は だいがく 1 ねんせい です。","My son's a college freshman.","[sound:C1K-P01-199.mp3]","[sound:C1K-P01-200.mp3]","[sound:C1K-P01-201.mp3]"
"安い","安い","やすい","cheap, inexpensive","adjective","この服はとても安かった。","この ふく は とても やすかった。","These clothes were very cheap.","あの店は魚が安いです。","あの みせ は さかな が やすい です。","The fish at that store is cheap.","[sound:C1K-P01-202.mp3]","[sound:C1K-P01-203.mp3]","[sound:C1K-P01-204.mp3]"
"もっと","もっと","もっと","more","adverb","もっと近くに来てください。","もっと ちかく に きて ください。","Please come closer.","もっとゆっくり話してください。","もっと ゆっくり はなして ください。","Please speak more slowly.","[sound:C1K-P01-205.mp3]","[sound:C1K-P01-206.mp3]","[sound:C1K-P01-207.mp3]"
"帰る","帰る","かえる","go back home","verb","家に帰ろう。","うち に かえろう。","Let's go home.","彼はもう帰りました。","かれ は もう かえりました。","He's already gone home.","[sound:C1K-P01-208.mp3]","[sound:C1K-P01-209.mp3]","[sound:C1K-P01-210.mp3]"
"分かる","分かる","わかる","understand","verb","質問の意味は分かりましたか。","しつもん の いみ は わかりました か。","Did you understand the meaning of the question?","その子は日本語が分からない。","その こ は にほん ご が わからない。","That kid doesn't understand Japanese.","[sound:C1K-P01-211.mp3]","[sound:C1K-P01-212.mp3]","[sound:C1K-P01-213.mp3]"
"広い","広い","ひろい","wide, big","adjective","彼の家はとても広い。","かれ の いえ は とても ひろい。","His house is very big.","海は広くて大きい。","うみ は ひろくて おおきい。","The sea is vast and wide.","[sound:C1K-P01-214.mp3]","[sound:C1K-P01-215.mp3]","[sound:C1K-P01-216.mp3]"
"数","数","かず","number","noun","グラスの数が足りません。","グラス の かず が たりません。","We don't have enough number of glasses.","いすの数を数えてください。","いす の かず を かぞえて ください。","Please count the number of chairs.","[sound:C1K-P01-217.mp3]","[sound:C1K-P01-218.mp3]","[sound:C1K-P01-219.mp3]"
"近い","近い","ちかい","near, close","adjective","駅はここから近いです。","えき は ここ から ちかい です。","The station is near here.","そのホテルは空港から近いですか。","その ホテル は くうこう から ちかい です か。","Is the hotel close to the airport?","[sound:C1K-P01-220.mp3]","[sound:C1K-P01-221.mp3]","[sound:C1K-P01-222.mp3]"
"そこ","そこ","そこ","there","pronoun","そこに座ってください。","そこ に すわって ください。","Please sit there.","そこを左に曲がってください。","そこ を ひだり に まがって ください。","Please turn left there.","[sound:C1K-P01-223.mp3]","[sound:C1K-P01-224.mp3]","[sound:C1K-P01-225.mp3]"
"走る","走る","はしる","run","verb","彼は毎晩3キロ走っています。","かれ は まいばん 3 キロ はしって います。","Every night he runs three kilometers.","彼は走るのが速い。","かれ は はしる の が はやい。","He runs fast.","[sound:C1K-P01-226.mp3]","[sound:C1K-P01-227.mp3]","[sound:C1K-P01-228.mp3]"
"入れる","入れる","いれる","put in","verb","彼はかばんに手帳を入れた。","かれ は かばん に てちょう を いれた。","He put the notebook in his bag.","コーヒーに砂糖は入れますか。","コーヒー に さとう は いれます か。","Do you want sugar in your coffee?","[sound:C1K-P01-229.mp3]","[sound:C1K-P01-230.mp3]","[sound:C1K-P01-231.mp3]"
"教える","教える","おしえる","teach, tell","verb","彼は数学を教えています。","かれ は すうがく を おしえて います。","He teaches mathematics.","あなたの名前を教えてください。","あなた の なまえ を おしえて ください。","Please tell me your name.","[sound:C1K-P01-232.mp3]","[sound:C1K-P01-233.mp3]","[sound:C1K-P01-234.mp3]"
"歩く","歩く","あるく","walk, go on foot","verb","駅まで歩きましょう。","えき まで あるきましょう。","Let's walk to the station.","私は森を歩くのが好きです。","わたし は もり を あるく の が すき です。","I like to walk in the forest.","[sound:C1K-P01-235.mp3]","[sound:C1K-P01-236.mp3]","[sound:C1K-P01-237.mp3]"
"会う","会う","あう","meet","verb","また会いましょう。","また あいましょう。","Let's meet again.","昨日おじさんに会いました。","きのう おじさん に あいました。","I met my uncle yesterday.","[sound:C1K-P01-238.mp3]","[sound:C1K-P01-239.mp3]","[sound:C1K-P01-240.mp3]"
"書く","書く","かく","write","verb","彼に手紙を書きました。","かれ に てがみ を かきました。","I wrote him a letter.","お名前をカタカナで書いてください。","おなまえ を カタカナ で かいて ください。","Please write your name in katakana.","[sound:C1K-P01-241.mp3]","[sound:C1K-P01-242.mp3]","[sound:C1K-P01-243.mp3]"
"頭","頭","あたま","head","noun","今朝から頭が痛い。","けさ から あたま が いたい。","I've had a headache since this morning.","彼はすごく頭がいいです。","かれ は すごく あたま が いい です。","He is very smart.","[sound:C1K-P01-244.mp3]","[sound:C1K-P01-245.mp3]","[sound:C1K-P01-246.mp3]"
"売る","売る","うる","sell","verb","彼は家を売った。","かれ は いえ を うった。","He sold the house.","私は、古い本を売りました。","わたし は、ふるい ほん を うりました。","I sold old books.","[sound:C1K-P01-247.mp3]","[sound:C1K-P01-248.mp3]","[sound:C1K-P01-249.mp3]"
"大好き","大好き","だいすき","like (something) a lot","adjectival noun","私は犬が大好きだ。","わたし は いぬ が だいすき だ。","I like dogs a lot.","私は夏が大好き。","わたし は なつ が だいすき。","I just love summer.","[sound:C1K-P01-250.mp3]","[sound:C1K-P01-251.mp3]","[sound:C1K-P01-252.mp3]"
"体","体","からだ","body, physique, physical condition","noun","私は体が丈夫だ。","わたし は からだ が じょうぶ だ。","I'm physically strong.","タバコは体に悪い。","タバコ は からだ に わるい。","Cigarettes are bad for your health.","[sound:C1K-P01-253.mp3]","[sound:C1K-P01-254.mp3]","[sound:C1K-P01-255.mp3]"
"直ぐ","直ぐ","すぐ","at once, soon","adverb","直ぐ行きます。","すぐ いきます。","I'll go right away.","直ぐ来てください。","すぐ きて ください。","Please come at once.","[sound:C1K-P01-256.mp3]","[sound:C1K-P01-257.mp3]","[sound:C1K-P01-258.mp3]"
"飛ぶ","飛ぶ","とぶ","fly","verb","鳥が飛んでいます。","とり が とんで います。","There's a bird flying.","飛行機が山の向こうへ飛んでいきました。","ひこうき が やま の むこう へ とんで いきました。","An airplane flew beyond the mountain.","[sound:C1K-P01-259.mp3]","[sound:C1K-P01-260.mp3]","[sound:C1K-P01-261.mp3]"
"とても","とても","とても","very (colloquial)","adverb","この本はとてもおもしろい。","この ほん は とても おもしろい。","This book is very interesting.","このスープはとても熱い。","この スープ は とても あつい。","This soup is very hot.","[sound:C1K-P01-262.mp3]","[sound:C1K-P01-263.mp3]","[sound:C1K-P01-264.mp3]"
"誰","誰","だれ","who","interrogative","誰と会ってみたいですか。","だれ と あって みたい です か。","Who would you like to meet?","誰もその話を知らない。","だれ も その はなし を しらない。","No one knows that story.","[sound:C1K-P01-265.mp3]","[sound:C1K-P01-266.mp3]","[sound:C1K-P01-267.mp3]"
"好き","好き","すき","favorite, liked","adjectival noun","私はワインが好きです。","わたし は ワイン が すき です。","I like wine.","子供はカレーライスが好きです。","こども は カレーライス が すき です。","Kids like curry and rice.","[sound:C1K-P01-268.mp3]","[sound:C1K-P01-269.mp3]","[sound:C1K-P01-270.mp3]"
